Alabama	38227.24	6469.96	3194.18	4049.58	2074.42	1671.22	1081.71
Alaska	46426.01	8760.85	3820.62	7408.63	3234.20	2019.31	1802.85
Arizona	39782.18	6720.84	3400.70	6214.82	2167.12	1770.67	1167.39
Arkansas	37742.59	6106.85	3132.22	4424.11	1868.42	1729.82	987.7
California	50828.30	7282.01	4684.56	11276.80	2647.10	1976.69	1337.56
Colorado	41518.86	6595.40	3545.26	6829.28	1810.74	1907.42	1163.82
Connecticut	45981.74	6720.84	3879.13	8058.20	2725.38	2026.42	1306.62
Delaware	42023.71	7229.19	3820.62	5459.92	2148.58	2019.31	1259.02
Florida	39963.93	7057.54	3500.51	5828.59	2123.86	1747.58	1169.77
Georgia	38207.05	6357.73	3293.99	4348.04	1860.18	1715.62	1148.35
Hawaii	59148.23	10424.56	4856.66	18322.61	3485.52	2250.19	1348.27
Idaho	38833.06	6047.43	3393.81	6173.86	1705.68	1791.98	1126.93
Illinois	39277.33	6430.35	3665.73	4985.90	1973.48	1717.39	1136.45
Indiana	38368.60	6100.25	3324.97	4470.93	1992.02	1690.75	1123.36
Iowa	38388.79	6489.77	3393.81	4476.78	1938.46	1664.11	1181.67
Kansas	38166.66	6113.45	3283.67	4096.40	2062.06	1603.73	1193.57
Kentucky	38550.35	6159.67	3497.07	4687.45	2146.52	1841.71	991.27
Louisiana	39156.17	6311.51	3266.46	5050.28	1786.02	1747.58	1184.05
Maine	43921.95	6628.41	3679.50	8309.84	2208.32	1925.18	1335.18
Maryland	46385.62	7176.37	3803.41	10024.48	2142.40	1918.08	982.94
Massachusetts	46769.30	7724.34	3861.92	10486.78	2282.48	2061.94	1428
Michigan	38146.47	6007.82	3503.96	4693.30	2029.10	1712.06	1134.07
Minnesota	40711.10	6932.10	3538.38	5290.21	1981.72	1932.29	1262.59
Mississippi	37581.03	6153.06	3066.82	3897.43	1901.38	1623.26	1142.4
Missouri	37782.97	6298.31	3111.57	4582.12	1983.78	1701.41	1142.4
Montana	41781.39	6806.66	3280.23	6197.27	1814.86	1751.14	1191.19
Nebraska	38530.15	6509.57	3455.77	5067.83	1831.34	1719.17	1224.51
Nevada	42104.49	7315.02	3896.34	6934.62	1792.20	1763.57	1203.09
New Hampshire	42346.82	6582.19	3428.23	6454.76	2373.12	1967.81	1450.61
New Jersey	45456.69	7176.37	3665.73	8017.24	2154.76	1893.22	1167.39
New Mexico	37863.75	6245.49	3390.37	4939.09	1851.94	1632.14	1181.67
New York	48283.85	7810.17	3806.85	13471.30	2043.52	2038.85	1228.08
North Carolina	39358.11	6430.35	3273.34	5372.14	2002.32	1761.79	1310.19
North Dakota	40145.67	6740.64	3620.98	5483.32	1921.98	1710.29	1339.94
Ohio	38530.15	6463.36	3428.23	4453.37	1868.42	1752.91	1156.68
Oklahoma	37762.78	6245.49	3183.85	4271.96	1924.04	1660.56	1135.26
Oregon	47294.35	7196.18	4312.83	10422.41	1856.06	2104.56	1372.07
Pennsylvania	40731.30	7215.99	3855.04	5887.11	2255.70	1827.50	1166.2
Rhode Island	44305.64	7176.37	3824.06	7268.18	2591.48	2108.11	1260.21
South Carolina	39560.05	6720.84	3218.27	4687.45	2163.00	1765.34	1126.93
South Dakota	40347.61	6720.84	3087.47	6595.20	1878.72	1617.94	1182.86
Tennessee	38106.08	6139.86	296.01	4646.49	1889.02	1649.90	1090.04
Texas	38671.51	6021.02	3128.78	4886.42	2127.98	1722.72	1135.26
Utah	40064.90	6463.36	3435.12	5711.55	1919.92	1767.12	1098.37
Vermont	43316.13	7229.19	4006.49	7999.68	2484.36	1848.82	1160.25
Virginia	40529.36	6344.52	3053.05	6560.09	1987.90	1779.55	1212.61
Washington	42548.76	7209.38	4071.89	6829.28	1876.66	1960.70	1447.04
West Virginia	38590.73	6463.36	3607.22	4511.89	1816.92	1827.50	1035.3
Wisconsin	39842.76	6661.42	3366.28	5184.87	2020.86	1756.46	1326.85
Wyoming	38227.24	6833.07	3252.69	4781.08	1800.44	1873.68	1153.11
